player,atp_rank,atp_points,hard_win_pct,recent_form_pct,uso_win_pct,avg_aces,avg_bp_save,avg_bp_conv,uso_score,power_rank,win_title,reach_final,reach_semis,reach_qtrs
Nicolas Almagro,999.0,0.0,0.35294117647058826,0.4,0.5,14.166666666666666,0.6006944444444444,0.3530559718059718,0.2909228149301679,167,,,,
Steve Darcis,999.0,0.0,0.49230769230769234,0.3,0.3333333333333333,4.78125,0.6424567099567099,0.5033436640973405,0.29036694177962563,168,,,,
Oscar Otte,999.0,0.0,0.3191489361702128,0.3,0.6,9.266666666666667,0.70001665001665,0.4966212001506119,0.2896191265509163,169,,,,
Christopher Eubanks,999.0,0.0,0.36231884057971014,0.5,0.25,13.08,0.7362287470983123,0.46951515151515155,0.28836690507560075,170,,,,
Matthew Ebden,999.0,0.0,0.373134328358209,0.4,0.3333333333333333,7.56,0.7237028018278018,0.5732424242424242,0.2881308433930635,171,,,,
Robin Haase,999.0,0.0,0.4306569343065693,0.4,0.2857142857142857,7.88135593220339,0.6449721044922284,0.5047610977584216,0.2880080365463177,172,,,,
Gilles Muller,999.0,0.0,0.544,0.3,0.2,16.13235294117647,0.7936165845648604,0.43536357433416256,0.28744900794495115,173,,,,
Fabio Fognini,999.0,0.0,0.5046296296296297,0.2,0.42857142857142855,5.220183486238532,0.6209605900197323,0.4987823855403456,0.28643027047112557,174,,,,
Sam Querrey,999.0,0.0,0.4745762711864407,0.3,0.3333333333333333,14.69047619047619,0.6752465127465128,0.4772602397602398,0.2862694054219478,175,,,,
Kyle Edmund,999.0,0.0,0.5286624203821656,0.1,0.5,7.530120481927711,0.6972081930415264,0.4729947651634399,0.28567575300578973,176,,,,
Daniel Elahi Galan,999.0,0.0,0.3888888888888889,0.3,0.5,5.571428571428571,0.5855170940170941,0.4801638215503762,0.28550626800059575,177,,,,
Ivo Karlovic,999.0,0.0,0.49640287769784175,0.2,0.4,22.507246376811594,0.8051169590643275,0.4225261270715816,0.2854828737312559,178,,,,
Andreas Seppi,999.0,0.0,0.4779874213836478,0.2,0.46153846153846156,7.473684210526316,0.6134809226720992,0.5075080073435337,0.2847770710774628,179,,,,
Radek Stepanek,999.0,0.0,0.48148148148148145,0.5,0.0,5.6923076923076925,0.7950396825396826,0.4607270934194011,0.2831587091683246,180,,,,
Dusan Lajovic,999.0,0.0,0.4,0.4,0.3076923076923077,4.472972972972973,0.6097175047175046,0.5009910374200656,0.2816892732607247,181,,,,
Benoit Paire,999.0,0.0,0.4383561643835616,0.2,0.5,11.010416666666666,0.660181269347936,0.4586215555125446,0.28052918233891444,182,,,,
Jiri Vesely,999.0,0.0,0.4166666666666667,0.3,0.38461538461538464,10.745454545454546,0.6790692165305168,0.48786684405806663,0.2802057773884036,183,,,,
Guillermo Garcia Lopez,999.0,0.0,0.40404040404040403,0.3,0.4,5.325,0.6783655802886572,0.4822994734024146,0.27904335369465455,185,,,,
Julien Benneteau,999.0,0.0,0.4230769230769231,0.4,0.25,9.272727272727273,0.6610362772560004,0.4435852026761118,0.2785003047658364,186,,,,
Tommy Robredo,999.0,0.0,0.42857142857142855,0.2,0.5,6.4,0.5787621109049681,0.5313492063492063,0.27764842300556586,187,,,,
Soon Woo Kwon,999.0,0.0,0.4854368932038835,0.3,0.25,6.06,0.6938265635074146,0.4799353424353424,0.2775473185981087,188,,,,
Diego Schwartzman,999.0,0.0,0.5150214592274678,0.0,0.6153846153846154,2.908333333333333,0.6293427501617156,0.48864145550404636,0.27696226739784735,189,,,,
Nicolas Jarry,999.0,0.0,0.4111111111111111,0.3,0.375,10.91891891891892,0.6923427826653633,0.45434580434580435,0.2763622071283362,190,,,,
Facundo Bagnis,999.0,0.0,0.25,0.5,0.3333333333333333,8.571428571428571,0.6504709576138147,0.6101473922902494,0.2755309174952032,191,,,,
Marius Copil,999.0,0.0,0.46987951807228917,0.3,0.25,11.564102564102564,0.6978162578162579,0.5094564979180364,0.275333517304787,192,,,,
Peter Gojowczyk,999.0,0.0,0.45045045045045046,0.2,0.42857142857142855,8.32,0.6837830687830688,0.48245046270256353,0.27521000347260854,193,,,,
Steve Johnson,999.0,0.0,0.4909090909090909,0.2,0.35714285714285715,10.12962962962963,0.7386249093301231,0.43483992422671663,0.27497194297654326,194,,,,
Pierre Hugues Herbert,999.0,0.0,0.46099290780141844,0.4,0.14285714285714285,9.415384615384616,0.6811024897889305,0.4806350333694084,0.27476367453684303,195,,,,
Aljaz Bedene,999.0,0.0,0.44036697247706424,0.3,0.3,11.166666666666666,0.6738352916924345,0.4762225723622782,0.2725946363220017,198,,,,
Gregoire Barrere,999.0,0.0,0.36666666666666664,0.3,0.4,7.363636363636363,0.7083526122999807,0.4725086649129711,0.2707097305273143,199,,,,
Max Purcell,999.0,0.0,0.36363636363636365,0.4,0.25,9.5,0.7421075837742505,0.4971916971916972,0.2703740549573883,200,,,,
Ruben Bemelmans,999.0,0.0,0.35135135135135137,0.3,0.4,8.23076923076923,0.7230489417989417,0.5073260073260073,0.2693565852940853,201,,,,
Maxime Cressy,999.0,0.0,0.4393939393939394,0.2,0.4,17.551724137931036,0.6737433862433863,0.5017072965348828,0.26862101898739826,202,,,,
Mikhail Youzhny,999.0,0.0,0.3835616438356164,0.2,0.5,4.428571428571429,0.6769555258000636,0.4706986961451247,0.2682731220561635,203,,,,
Jason Kubler,999.0,0.0,0.4117647058823529,0.2,0.4,6.785714285714286,0.6747113997113997,0.6122874149659864,0.26729111720445753,204,,,,
Mikael Ymer,999.0,0.0,0.5,0.4,0.0,3.150943396226415,0.6606081227029607,0.5638656509355732,0.2662236886819267,205,,,,
Michael Berrer,999.0,0.0,0.45,0.5,0.0,8.444444444444445,0.5852826510721247,0.45370370370370366,0.26444931773879143,206,,,,
Ramkumar Ramanathan,999.0,0.0,0.27906976744186046,0.3,0.5,10.5,0.7350378787878789,0.4494167869167869,0.2639901751456984,207,,,,
Fernando Verdasco,999.0,0.0,0.47619047619047616,0.1,0.45454545454545453,7.1875,0.642814529458365,0.47390358818812767,0.2630653431117619,208,,,,
Pablo Cuevas,999.0,0.0,0.38144329896907214,0.3,0.3333333333333333,7.351351351351352,0.7038196824961531,0.4421593067426401,0.26265977420420766,209,,,,
Yuki Bhambri,999.0,0.0,0.42857142857142855,0.5,0.0,3.6,0.5834750566893424,0.4966610296022061,0.26114966145743457,210,,,,
